method,feature_1,feature_2,correlation,absolute_correlation
Pearson,Flow IAT Std,Flow IAT Min,-0.9998218321646338,0.9998218321646338
Pearson,Flow IAT Min,Fwd IAT Std,-0.9998205905233586,0.9998205905233586
Pearson,Flow IAT Min,Idle Std,-0.9998186027868206,0.9998186027868206
Pearson,Fwd IAT Std,Fwd IAT Min,-0.9998162872276773,0.9998162872276773
Pearson,Fwd IAT Min,Idle Std,-0.9998141753224209,0.9998141753224209
Pearson,Flow IAT Std,Fwd IAT Min,-0.9998076549813806,0.9998076549813806
Spearman,Active Mean,Active Min,0.9998049949614988,0.9998049949614988
Pearson,Flow IAT Max,Idle Mean,0.9997875918644108,0.9997875918644108
Pearson,Fwd Header Length,Fwd Act Data Packets,0.9997832465845014,0.9997832465845014
Pearson,Fwd IAT Max,Idle Mean,0.9997824138050195,0.9997824138050195
Pearson,Flow IAT Std,Idle Max,0.9996691339739106,0.9996691339739106
Pearson,Fwd IAT Std,Idle Max,0.9996675464991124,0.9996675464991124
Spearman,Idle Mean,Idle Min,0.9996575413489147,0.9996575413489147
Pearson,Flow IAT Max,Fwd IAT Std,0.9996477449116468,0.9996477449116468
Pearson,Fwd IAT Std,Fwd IAT Max,0.9996472551556947,0.9996472551556947
Pearson,Flow IAT Std,Flow IAT Max,0.9996471195707907,0.9996471195707907
Pearson,Idle Std,Idle Max,0.9996418406528915,0.9996418406528915
Pearson,Flow IAT Std,Fwd IAT Max,0.999640064325036,0.999640064325036
Pearson,Total Backward Packets,Bwd Header Length,0.9996392803172085,0.9996392803172085
Pearson,Bwd Header Length,Subflow Bwd Packets,0.9996392803172083,0.9996392803172083
Pearson,Flow IAT Max,Idle Std,0.9996118350552621,0.9996118350552621
Pearson,Fwd IAT Max,Idle Std,0.9996101891279325,0.9996101891279325
Spearman,Active Max,Active Min,0.9995730063097957,0.9995730063097957
Pearson,Flow IAT Mean,Fwd IAT Mean,0.9990942716086197,0.9990942716086197
Pearson,Flow IAT Std,Idle Mean,0.9990912160746335,0.9990912160746335
Pearson,Fwd IAT Std,Idle Mean,0.999088196403111,0.999088196403111
Spearman,Idle Max,Idle Min,0.9990585299272012,0.9990585299272012
Pearson,Flow IAT Min,Idle Max,-0.9990514865927957,0.9990514865927957
Pearson,Fwd IAT Min,Idle Max,-0.9990345118172068,0.9990345118172068
Pearson,Idle Mean,Idle Std,0.9990316828312951,0.9990316828312951
Pearson,Flow IAT Max,Flow IAT Min,-0.9989823390009354,0.9989823390009354
Pearson,Flow IAT Min,Fwd IAT Max,-0.9989772117610728,0.9989772117610728
Pearson,Flow IAT Max,Fwd IAT Min,-0.9989651361064196,0.9989651361064196
Pearson,Fwd IAT Max,Fwd IAT Min,-0.9989599537959658,0.9989599537959658
Spearman,Flow Packets/s,Flow IAT Mean,-0.9985159551339674,0.9985159551339674
Pearson,Flow IAT Min,Idle Mean,-0.9981793580670251,0.9981793580670251
Pearson,Fwd IAT Min,Idle Mean,-0.9981542923619866,0.9981542923619866
Pearson,Fwd IAT Total,Fwd IAT Min,0.9979217931728204,0.9979217931728204
Pearson,Flow Duration,Fwd IAT Min,0.9979163962806894,0.9979163962806894
Pearson,Flow IAT Min,Fwd IAT Total,0.9979012204743348,0.9979012204743348
Pearson,Flow Duration,Flow IAT Min,0.9978958485154273,0.9978958485154273
Pearson,Total Backward Packets,Subflow Bwd Bytes,0.997556606650423,0.997556606650423
Pearson,Subflow Bwd Packets,Subflow Bwd Bytes,0.997556606650423,0.997556606650423
Pearson,Bwd Packets Length Total,Subflow Bwd Packets,0.9975566066476534,0.9975566066476534
Pearson,Total Backward Packets,Bwd Packets Length Total,0.9975566066476534,0.9975566066476534
Pearson,Flow Duration,Idle Std,-0.9972237903508914,0.9972237903508914
Pearson,Fwd IAT Total,Idle Std,-0.9972232446909164,0.9972232446909164
Pearson,Flow IAT Std,Fwd IAT Total,-0.9971088985264678,0.9971088985264678
Pearson,Flow Duration,Flow IAT Std,-0.9971003202713803,0.9971003202713803
Pearson,Flow Duration,Fwd IAT Std,-0.9970771981612243,0.9970771981612243
Pearson,Fwd IAT Total,Fwd IAT Std,-0.9970743016563025,0.9970743016563025
Pearson,Bwd Header Length,Subflow Bwd Bytes,0.9966774906013652,0.9966774906013652
Pearson,Bwd Packets Length Total,Bwd Header Length,0.996677490597861,0.996677490597861
Spearman,Flow Packets/s,Fwd Packets/s,0.9961790731453789,0.9961790731453789
Spearman,Bwd IAT Mean,Bwd IAT Max,0.9958126580865108,0.9958126580865108
Pearson,Fwd Packets Length Total,Fwd Act Data Packets,0.9957331191485808,0.9957331191485808
Pearson,Subflow Fwd Bytes,Fwd Act Data Packets,0.9957331191485808,0.9957331191485808
Pearson,Total Fwd Packets,Subflow Fwd Bytes,0.9957134124861748,0.9957134124861748
Pearson,Fwd Packets Length Total,Subflow Fwd Packets,0.9957134124861748,0.9957134124861748
Pearson,Subflow Fwd Packets,Subflow Fwd Bytes,0.9957134124861748,0.9957134124861748
Pearson,Total Fwd Packets,Fwd Packets Length Total,0.9957134124861748,0.9957134124861748
Pearson,Fwd Packets Length Total,Fwd Header Length,0.9956125652239667,0.9956125652239667
Pearson,Fwd Header Length,Subflow Fwd Bytes,0.9956125652239667,0.9956125652239667
Pearson,Packet Length Mean,Avg Packet Size,0.9955836729119426,0.9955836729119426
Pearson,Fwd IAT Total,Idle Max,-0.9954696685224236,0.9954696685224236
Pearson,Flow Duration,Idle Max,-0.9954664095821667,0.9954664095821667
Pearson,Flow IAT Max,Fwd IAT Total,-0.9953218674061807,0.9953218674061807
Pearson,Flow Duration,Fwd IAT Max,-0.99531710788771,0.99531710788771
Pearson,Flow Duration,Flow IAT Max,-0.9953151737623975,0.9953151737623975
Pearson,Fwd IAT Total,Fwd IAT Max,-0.9953026967764546,0.9953026967764546
Spearman,Fwd Packet Length Min,Packet Length Min,0.9945033790365718,0.9945033790365718
Pearson,Fwd IAT Total,Idle Mean,-0.9939698335411273,0.9939698335411273
Pearson,Flow Duration,Idle Mean,-0.9939639843265641,0.9939639843265641
Spearman,Packet Length Mean,Avg Packet Size,0.9937884521734947,0.9937884521734947
Spearman,Bwd IAT Total,Bwd IAT Mean,0.9933396797113053,0.9933396797113053
Spearman,Flow IAT Mean,Fwd Packets/s,-0.9933292761518211,0.9933292761518211
Spearman,Bwd Packet Length Max,Subflow Bwd Bytes,0.9930010420213652,0.9930010420213652
Spearman,Bwd Packets Length Total,Bwd Packet Length Max,0.9930010420213652,0.9930010420213652
Spearman,Fwd IAT Total,Fwd IAT Max,0.9926013244576992,0.9926013244576992
Spearman,Bwd IAT Total,Bwd IAT Max,0.9923413577564816,0.9923413577564816
Spearman,Flow IAT Max,Fwd Packets/s,-0.9912773233883714,0.9912773233883714
Spearman,Fwd IAT Mean,Fwd IAT Max,0.9912728762900639,0.9912728762900639
Spearman,Flow Packets/s,Flow IAT Max,-0.9874704234725081,0.9874704234725081
Spearman,Bwd Packet Length Max,Packet Length Max,0.9859505111023487,0.9859505111023487
Spearman,Flow IAT Mean,Flow IAT Max,0.982314916388815,0.982314916388815
Spearman,Fwd IAT Total,Fwd IAT Mean,0.9817587551385369,0.9817587551385369
Spearman,Flow Duration,Flow IAT Max,0.9815624685689596,0.9815624685689596
Spearman,Fwd Packet Length Max,Subflow Fwd Bytes,0.9794006005402974,0.9794006005402974
Spearman,Fwd Packets Length Total,Fwd Packet Length Max,0.9794006005402974,0.9794006005402974
Spearman,Bwd Packets Length Total,Packet Length Max,0.9791168342334832,0.9791168342334832
Spearman,Packet Length Max,Subflow Bwd Bytes,0.9791168342334832,0.9791168342334832
Spearman,Fwd Packet Length Max,Fwd Packet Length Mean,0.975642336588435,0.975642336588435
Spearman,Fwd Packet Length Max,Avg Fwd Segment Size,0.975642336588435,0.975642336588435
Pearson,Fwd Packet Length Min,Packet Length Min,0.9744346977907283,0.9744346977907283
Pearson,Packet Length Max,Packet Length Std,0.9724813881697478,0.9724813881697478
Pearson,Flow Packets/s,Fwd Packets/s,0.9697800869636051,0.9697800869636051
Spearman,Flow Duration,Fwd Packets/s,-0.9682915334385737,0.9682915334385737
Pearson,Bwd Packet Length Max,Bwd Packet Length Std,0.9682087698532897,0.9682087698532897
Spearman,Bwd Packet Length Mean,Packet Length Variance,0.9677457171518372,0.9677457171518372
Spearman,Packet Length Variance,Avg Bwd Segment Size,0.9677457171518372,0.9677457171518372
Spearman,Packet Length Std,Avg Bwd Segment Size,0.9677457171517804,0.9677457171517804
Spearman,Bwd Packet Length Mean,Packet Length Std,0.9677457171517804,0.9677457171517804
Spearman,Flow Duration,Flow Packets/s,-0.9668481846598656,0.9668481846598656
Spearman,Bwd Header Length,Subflow Bwd Packets,0.9648988723418928,0.9648988723418928
Spearman,Total Backward Packets,Bwd Header Length,0.9648988723418928,0.9648988723418928
Spearman,Protocol,Packet Length Min,0.9592804075852103,0.9592804075852103
Spearman,Total Fwd Packets,Fwd Header Length,0.9591084028769097,0.9591084028769097
Spearman,Fwd Header Length,Subflow Fwd Packets,0.9591084028769097,0.9591084028769097
Spearman,Bwd Packet Length Std,Packet Length Std,0.9587699043991925,0.9587699043991925
Spearman,Bwd Packet Length Std,Packet Length Variance,0.9587699043985551,0.9587699043985551
Spearman,Flow Duration,Flow IAT Mean,0.9579600324428388,0.9579600324428388
Spearman,Bwd IAT Std,Bwd IAT Max,0.9572119089466066,0.9572119089466066
Pearson,Flow IAT Mean,Fwd IAT Total,0.9553975037779088,0.9553975037779088
Pearson,Flow Duration,Flow IAT Mean,0.9553315930346509,0.9553315930346509
Pearson,Fwd IAT Total,Fwd IAT Mean,0.9551939793379046,0.9551939793379046
Pearson,Flow Duration,Fwd IAT Mean,0.9550515561158417,0.9550515561158417
Spearman,Protocol,Fwd Packet Length Min,0.9540420670738353,0.9540420670738353
Spearman,Bwd Packet Length Mean,Bwd Packet Length Std,0.9522006479087775,0.9522006479087775
Spearman,Bwd Packet Length Std,Avg Bwd Segment Size,0.9522006479087775,0.9522006479087775
