column_position,column_name,unique_physical_type_count,observed_physical_types,compatibility,canonical_type,explanation,file_type_details_json
19,Flow IAT Min,3,float | int32 | int64,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""float"", ""file_count"": 1, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 7, ""files"": [""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int64"", ""file_count"": 2, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
20,Fwd IAT Total,3,float | int32 | int64,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""float"", ""file_count"": 1, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 7, ""files"": [""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int64"", ""file_count"": 2, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
23,Fwd IAT Max,3,float | int32 | int64,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""float"", ""file_count"": 1, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 7, ""files"": [""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int64"", ""file_count"": 2, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
24,Fwd IAT Min,3,float | int32 | int64,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""float"", ""file_count"": 1, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 7, ""files"": [""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int64"", ""file_count"": 2, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
25,Bwd IAT Total,2,float | int32,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""float"", ""file_count"": 1, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 9, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
28,Bwd IAT Max,2,float | int32,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""float"", ""file_count"": 1, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 9, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
29,Bwd IAT Min,2,float | int32,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""float"", ""file_count"": 1, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 9, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
34,Fwd Header Length,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 1, ""files"": [""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 9, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
35,Bwd Header Length,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 2, ""files"": [""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 8, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
39,Packet Length Max,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 7, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 3, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet""]}]"
51,Down/Up Ratio,2,int16 | int8,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 3, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int8"", ""file_count"": 7, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
61,Subflow Fwd Packets,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 5, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 5, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
62,Subflow Fwd Bytes,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 1, ""files"": [""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 9, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
63,Subflow Bwd Packets,3,int16 | int32 | int8,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 4, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 5, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int8"", ""file_count"": 1, ""files"": [""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
64,Subflow Bwd Bytes,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 1, ""files"": [""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 9, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
66,Init Bwd Win Bytes,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 1, ""files"": [""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 9, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
