column_name,canonical_type,is_numeric,null_count,null_percentage,infinite_count,infinite_percentage,negative_count,negative_percentage,zero_count,zero_percentage,minimum_finite_value,maximum_finite_value,exact_unique_count_if_le_10000,most_common_value_if_low_cardinality,most_common_count_if_low_cardinality,most_common_percentage_if_low_cardinality,is_constant,is_near_constant,near_constant_basis
Bwd Header Length,int64,True,0,0.0,0,0.0,0,0.0,1283280,19.269822564108107,0.0,2462372.0,5263.0,0,1283280.0,19.269822564108107,False,False,
Fwd Packets/s,double,True,0,0.0,0,0.0,0,0.0,14,0.0002102249827765675,0.0,4000000.0,,,,,False,False,
Bwd Packets/s,double,True,0,0.0,0,0.0,0,0.0,1279438,19.212130822406138,0.0,2000000.0,,,,,False,False,
Packet Length Min,int64,True,0,0.0,0,0.0,0,0.0,5287414,79.39617979161298,0.0,1460.0,141.0,0,5287414.0,79.39617979161298,False,False,
Packet Length Max,int64,True,0,0.0,0,0.0,0,0.0,1340598,20.130513675735774,0.0,65160.0,1522.0,0,1340598.0,20.130513675735774,False,False,
Packet Length Mean,double,True,0,0.0,0,0.0,0,0.0,1340598,20.130513675735774,0.0,17344.984375,,,,,False,False,
Packet Length Std,double,True,0,0.0,0,0.0,0,0.0,1409058,21.158513841513187,0.0,22788.287109375,,,,,False,False,
Packet Length Variance,double,True,0,0.0,0,0.0,0,0.0,1409058,21.158513841513187,0.0,519000000.0,,,,,False,False,
FIN Flag Count,int64,True,0,0.0,0,0.0,0,0.0,6642652,99.74652873505225,0.0,1.0,2.0,0,6642652.0,99.74652873505225,False,False,
SYN Flag Count,int64,True,0,0.0,0,0.0,0,0.0,6439625,96.69786105089668,0.0,1.0,2.0,0,6439625.0,96.69786105089668,False,False,
RST Flag Count,int64,True,0,0.0,0,0.0,0,0.0,4983832,74.83757116866471,0.0,1.0,2.0,0,4983832.0,74.83757116866471,False,False,
PSH Flag Count,int64,True,0,0.0,0,0.0,0,0.0,3356381,50.39965270832845,0.0,1.0,2.0,0,3356381.0,50.39965270832845,False,False,
ACK Flag Count,int64,True,0,0.0,0,0.0,0,0.0,4773532,71.67969160595669,0.0,1.0,2.0,0,4773532.0,71.67969160595669,False,False,
URG Flag Count,int64,True,0,0.0,0,0.0,0,0.0,6516332,97.84969874759967,0.0,1.0,2.0,0,6516332.0,97.84969874759967,False,False,
CWE Flag Count,int64,True,0,0.0,0,0.0,0,0.0,6657468,99.96900683111066,0.0,1.0,2.0,0,6657468.0,99.96900683111066,False,True,exact_low_cardinality_mode
ECE Flag Count,int64,True,0,0.0,0,0.0,0,0.0,4983837,74.83764624901569,0.0,1.0,2.0,0,4983837.0,74.83764624901569,False,False,
Down/Up Ratio,int64,True,0,0.0,0,0.0,0,0.0,3627963,54.47774708493029,0.0,237.0,116.0,0,3627963.0,54.47774708493029,False,False,
Avg Packet Size,double,True,0,0.0,0,0.0,0,0.0,1340598,20.130513675735774,0.0,17478.408203125,,,,,False,False,
Avg Fwd Segment Size,double,True,0,0.0,0,0.0,0,0.0,1344399,20.18758975855961,0.0,16529.314453125,,,,,False,False,
Avg Bwd Segment Size,double,True,0,0.0,0,0.0,0,0.0,1721167,25.845164495042596,0.0,33879.28515625,,,,,False,False,
Fwd Avg Bytes/Bulk,int64,True,0,0.0,0,0.0,0,0.0,6659532,100.0,0.0,0.0,1.0,0,6659532.0,100.0,True,True,exact_low_cardinality_mode
Fwd Avg Packets/Bulk,int64,True,0,0.0,0,0.0,0,0.0,6659532,100.0,0.0,0.0,1.0,0,6659532.0,100.0,True,True,exact_low_cardinality_mode
Fwd Avg Bulk Rate,int64,True,0,0.0,0,0.0,0,0.0,6659532,100.0,0.0,0.0,1.0,0,6659532.0,100.0,True,True,exact_low_cardinality_mode
Bwd Avg Bytes/Bulk,int64,True,0,0.0,0,0.0,0,0.0,6659532,100.0,0.0,0.0,1.0,0,6659532.0,100.0,True,True,exact_low_cardinality_mode
Bwd Avg Packets/Bulk,int64,True,0,0.0,0,0.0,0,0.0,6659532,100.0,0.0,0.0,1.0,0,6659532.0,100.0,True,True,exact_low_cardinality_mode
Bwd Avg Bulk Rate,int64,True,0,0.0,0,0.0,0,0.0,6659532,100.0,0.0,0.0,1.0,0,6659532.0,100.0,True,True,exact_low_cardinality_mode
Subflow Fwd Packets,int64,True,0,0.0,0,0.0,0,0.0,0,0.0,1.0,309629.0,4565.0,2,1354768.0,20.343291390446055,False,False,
Subflow Fwd Bytes,int64,True,0,0.0,0,0.0,0,0.0,1344399,20.18758975855961,0.0,144391846.0,,,,,False,False,
Subflow Bwd Packets,int64,True,0,0.0,0,0.0,0,0.0,1279438,19.212130822406138,0.0,123118.0,2968.0,1,1361767.0,20.44838886576414,False,False,
Subflow Bwd Bytes,int64,True,0,0.0,0,0.0,0,0.0,1721167,25.845164495042596,0.0,156360426.0,,,,,False,False,
Init Fwd Win Bytes,int64,True,0,0.0,0,0.0,1464316,21.9882718485323,16816,0.2525102364550542,-1.0,65535.0,,,,,False,False,
Init Bwd Win Bytes,int64,True,0,0.0,0,0.0,2590018,38.89189210292855,266595,4.003209234522786,-1.0,65535.0,,,,,False,False,
Fwd Act Data Packets,int64,True,0,0.0,0,0.0,0,0.0,2395376,35.96913416738594,0.0,309628.0,2896.0,1,2405285.0,36.11792840698115,False,False,
Fwd Seg Size Min,int64,True,0,0.0,0,0.0,0,0.0,100316,1.506352098015296,0.0,56.0,11.0,20,4409716.0,66.21660501068243,False,False,
Active Mean,double,True,0,0.0,0,0.0,0,0.0,5956204,89.4387773795516,0.0,114000000.0,,,,,False,False,
Active Std,double,True,0,0.0,0,0.0,0,0.0,6159643,92.4936316846289,0.0,74953352.0,,,,,False,False,
Active Max,double,True,0,0.0,0,0.0,0,0.0,5956204,89.4387773795516,0.0,114000000.0,,,,,False,False,
Active Min,double,True,0,0.0,0,0.0,0,0.0,5956204,89.4387773795516,0.0,114000000.0,,,,,False,False,
Idle Mean,double,True,0,0.0,0,0.0,0,0.0,5380485,80.79374046104141,0.0,395571429376.0,,,,,False,False,
Idle Std,double,True,0,0.0,0,0.0,0,0.0,6077618,91.26193852661117,0.0,262247858176.0,,,,,False,False,
Idle Max,double,True,0,0.0,0,0.0,0,0.0,5380485,80.79374046104141,0.0,979781000000.0,,,,,False,False,
Idle Min,double,True,0,0.0,0,0.0,0,0.0,5380485,80.79374046104141,0.0,239934000000.0,,,,,False,False,
Label,string,False,0,0.0,0,0.0,0,0.0,0,0.0,,,15.0,Benign,5329008.0,80.02075821544217,False,False,
